Date,Time_Slot,Location,Noise_Level_dB
2024-01-31,Morning,Commercial,55.31
2024-01-31,Afternoon,Commercial,55.23
2024-01-31,Evening,Industrial,77.3
2024-01-31,Night,Residential,50.77
2024-02-01,Morning,Residential,50.91
2024-02-01,Afternoon,Residential,73.82
2024-02-01,Evening,Residential,76.61
2024-02-01,Night,Commercial,43.6
2024-02-02,Morning,Industrial,63.06
2024-02-02,Afternoon,Residential,65.78
2024-02-02,Evening,Residential,80.03
2024-02-02,Night,Commercial,54.47
2024-02-03,Morning,Residential,53.31
2024-02-03,Afternoon,Industrial,74.84
2024-02-03,Evening,Residential,80.8
2024-02-03,Night,Park,50.17
2024-02-04,Morning,Residential,52.45
2024-02-04,Afternoon,Residential,77.16
2024-02-04,Evening,Industrial,81.73
2024-02-04,Night,Commercial,51.12
2024-02-05,Morning,Commercial,53.62
2024-02-05,Afternoon,Residential,67.76
2024-02-05,Evening,Residential,91.19
2024-02-05,Night,Commercial,46.4
2024-02-06,Morning,Industrial,59.11
2024-02-06,Afternoon,Residential,63.1
2024-02-06,Evening,Commercial,73.91
2024-02-06,Night,Commercial,43.02
2024-02-07,Morning,Industrial,48.83
2024-02-07,Afternoon,Commercial,70.27
2024-02-07,Evening,Residential,81.41
2024-02-07,Night,Industrial,56.83
2024-02-08,Morning,Residential,58.98
2024-02-08,Afternoon,Commercial,72.83
2024-02-08,Evening,Commercial,77.68
2024-02-08,Night,Residential,48.6
2024-02-09,Morning,Residential,57.22
2024-02-09,Afternoon,Industrial,65.96
2024-02-09,Evening,Commercial,68.92
2024-02-09,Night,Residential,46.62
2024-02-10,Morning,Park,56.43
2024-02-10,Afternoon,Residential,70.39
2024-02-10,Evening,Residential,81.71
2024-02-10,Night,Residential,53.17
2024-02-11,Morning,Industrial,53.22
2024-02-11,Afternoon,Residential,62.4
2024-02-11,Evening,Residential,70.64
2024-02-11,Night,Residential,45.19
2024-02-12,Morning,Commercial,61.33
2024-02-12,Afternoon,Park,71.73
2024-02-12,Evening,Commercial,73.03
2024-02-12,Night,Residential,48.86
2024-02-13,Morning,Residential,62.16
2024-02-13,Afternoon,Industrial,77.74
2024-02-13,Evening,Commercial,70.72
2024-02-13,Night,Industrial,57.78
2024-02-14,Morning,Residential,56.54
2024-02-14,Afternoon,Industrial,63.69
2024-02-14,Evening,Park,71.1
2024-02-14,Night,Commercial,48.29
2024-02-15,Morning,Industrial,61.31
2024-02-15,Afternoon,Commercial,75.8
2024-02-15,Evening,Park,78.53
2024-02-15,Night,Residential,53.0
2024-02-16,Morning,Commercial,64.94
2024-02-16,Afternoon,Commercial,73.15
2024-02-16,Evening,Residential,75.03
2024-02-16,Night,Park,54.36
2024-02-17,Morning,Commercial,47.62
2024-02-17,Afternoon,Commercial,66.07
2024-02-17,Evening,Commercial,79.88
2024-02-17,Night,Park,50.27
2024-02-18,Morning,Residential,56.82
2024-02-18,Afternoon,Industrial,65.84
2024-02-18,Evening,Industrial,82.98
2024-02-18,Night,Residential,54.68
2024-02-19,Morning,Residential,52.58
2024-02-19,Afternoon,Commercial,64.53
2024-02-19,Evening,Commercial,70.95
2024-02-19,Night,Commercial,54.09
2024-02-20,Morning,Park,58.67
2024-02-20,Afternoon,Residential,65.86
2024-02-20,Evening,Residential,71.11
2024-02-20,Night,Commercial,48.23
2024-02-21,Morning,Commercial,67.93
2024-02-21,Afternoon,Commercial,69.02
2024-02-21,Evening,Commercial,74.84
2024-02-21,Night,Residential,47.86
2024-02-22,Morning,Commercial,70.41
2024-02-22,Afternoon,Residential,74.73
2024-02-22,Evening,Residential,77.72
2024-02-22,Night,Commercial,55.53
2024-02-23,Morning,Residential,52.98
2024-02-23,Afternoon,Industrial,73.3
2024-02-23,Evening,Commercial,78.65
2024-02-23,Night,Residential,50.31
2024-02-24,Morning,Residential,58.05
2024-02-24,Afternoon,Industrial,62.64
2024-02-24,Evening,Commercial,72.84
2024-02-24,Night,Industrial,43.67
2024-02-25,Morning,Residential,71.28
2024-02-25,Afternoon,Industrial,69.99
2024-02-25,Evening,Industrial,69.58
2024-02-25,Night,Commercial,55.29
2024-02-26,Morning,Residential,67.27
2024-02-26,Afternoon,Residential,66.79
2024-02-26,Evening,Park,58.24
2024-02-26,Night,Residential,52.13
2024-02-27,Morning,Residential,57.79
2024-02-27,Afternoon,Residential,73.51
2024-02-27,Evening,Residential,68.48
2024-02-27,Night,Residential,53.68
2024-02-28,Morning,Industrial,61.58
2024-02-28,Afternoon,Residential,60.81
2024-02-28,Evening,Residential,70.18
2024-02-28,Night,Commercial,55.47
2024-02-29,Morning,Industrial,65.53
2024-02-29,Afternoon,Commercial,78.32
2024-02-29,Evening,Residential,75.07
2024-02-29,Night,Residential,42.67
2024-03-01,Morning,Residential,63.97
2024-03-01,Afternoon,Industrial,79.98
2024-03-01,Evening,Residential,77.68
2024-03-01,Night,Park,50.77
2024-03-02,Morning,Commercial,64.84
2024-03-02,Afternoon,Residential,60.48
2024-03-02,Evening,Park,73.58
2024-03-02,Night,Industrial,52.22
2024-03-03,Morning,Industrial,65.1
2024-03-03,Afternoon,Park,73.97
2024-03-03,Evening,Commercial,85.0
2024-03-03,Night,Commercial,56.51
2024-03-04,Morning,Residential,61.32
2024-03-04,Afternoon,Residential,82.58
2024-03-04,Evening,Residential,65.39
2024-03-04,Night,Industrial,52.76
2024-03-05,Morning,Residential,68.77
2024-03-05,Afternoon,Commercial,70.06
2024-03-05,Evening,Commercial,71.24
2024-03-05,Night,Residential,54.7
2024-03-06,Morning,Industrial,44.45
2024-03-06,Afternoon,Residential,84.3
2024-03-06,Evening,Commercial,84.28
2024-03-06,Night,Commercial,47.03
2024-03-07,Morning,Residential,64.78
2024-03-07,Afternoon,Commercial,68.89
2024-03-07,Evening,Industrial,78.08
2024-03-07,Night,Residential,44.83
2024-03-08,Morning,Park,54.75
2024-03-08,Afternoon,Residential,52.47
2024-03-08,Evening,Residential,79.0
2024-03-08,Night,Residential,48.46
2024-03-09,Morning,Commercial,59.55
2024-03-09,Afternoon,Residential,71.53
2024-03-09,Evening,Industrial,77.11
2024-03-09,Night,Commercial,38.53
2024-03-10,Morning,Commercial,55.15
2024-03-10,Afternoon,Industrial,63.57
2024-03-10,Evening,Industrial,73.47
2024-03-10,Night,Industrial,55.66
2024-03-11,Morning,Residential,61.53
2024-03-11,Afternoon,Industrial,85.68
2024-03-11,Evening,Park,82.56
2024-03-11,Night,Park,47.03
2024-03-12,Morning,Commercial,57.36
2024-03-12,Afternoon,Commercial,64.53
2024-03-12,Evening,Residential,84.15
2024-03-12,Night,Industrial,48.25
2024-03-13,Morning,Commercial,58.18
2024-03-13,Afternoon,Residential,75.15
2024-03-13,Evening,Residential,76.54
2024-03-13,Night,Industrial,47.03
2024-03-14,Morning,Commercial,64.95
2024-03-14,Afternoon,Commercial,69.53
2024-03-14,Evening,Residential,76.92
2024-03-14,Night,Park,47.52
2024-03-15,Morning,Commercial,60.33
2024-03-15,Afternoon,Residential,71.45
2024-03-15,Evening,Residential,81.65
2024-03-15,Night,Residential,48.41
2024-03-16,Morning,Residential,52.67
2024-03-16,Afternoon,Residential,76.31
2024-03-16,Evening,Industrial,71.29
2024-03-16,Night,Residential,52.76
2024-03-17,Morning,Commercial,52.72
2024-03-17,Afternoon,Commercial,82.77
2024-03-17,Evening,Residential,74.31
2024-03-17,Night,Commercial,47.9
2024-03-18,Morning,Residential,58.71
2024-03-18,Afternoon,Residential,69.07
2024-03-18,Evening,Industrial,75.71
2024-03-18,Night,Commercial,54.35
2024-03-19,Morning,Commercial,59.67
2024-03-19,Afternoon,Industrial,59.23
2024-03-19,Evening,Residential,69.09
2024-03-19,Night,Residential,49.63
2024-03-20,Morning,Residential,64.91
2024-03-20,Afternoon,Residential,75.53
2024-03-20,Evening,Industrial,70.17
2024-03-20,Night,Residential,53.33
2024-03-21,Morning,Commercial,60.47
2024-03-21,Afternoon,Industrial,80.27
2024-03-21,Evening,Park,67.16
2024-03-21,Night,Commercial,45.15
2024-03-22,Morning,Industrial,52.35
2024-03-22,Afternoon,Residential,61.45
2024-03-22,Evening,Residential,74.74
2024-03-22,Night,Park,48.91
2024-03-23,Morning,Residential,51.46
2024-03-23,Afternoon,Industrial,67.0
2024-03-23,Evening,Commercial,84.0
2024-03-23,Night,Residential,48.38
2024-03-24,Morning,Residential,59.96
2024-03-24,Afternoon,Commercial,56.2
2024-03-24,Evening,Commercial,71.77
2024-03-24,Night,Park,54.54
2024-03-25,Morning,Residential,57.94
2024-03-25,Afternoon,Park,80.41
2024-03-25,Evening,Residential,81.87
2024-03-25,Night,Industrial,53.37
2024-03-26,Morning,Commercial,70.5
2024-03-26,Afternoon,Park,71.76
2024-03-26,Evening,Commercial,80.08
2024-03-26,Night,Park,53.93
2024-03-27,Morning,Industrial,63.28
2024-03-27,Afternoon,Commercial,68.32
2024-03-27,Evening,Commercial,75.7
2024-03-27,Night,Residential,54.51
2024-03-28,Morning,Residential,60.94
2024-03-28,Afternoon,Park,71.8
2024-03-28,Evening,Residential,63.37
2024-03-28,Night,Industrial,59.68
2024-03-29,Morning,Residential,54.95
2024-03-29,Afternoon,Commercial,69.21
2024-03-29,Evening,Residential,73.15
2024-03-29,Night,Residential,46.76
2024-03-30,Morning,Residential,63.32
2024-03-30,Afternoon,Park,71.57
2024-03-30,Evening,Commercial,78.52
2024-03-30,Night,Industrial,46.9
